model,roc_auc,pr_auc,precision_1,recall_1,f1_1,threshold
Logistic Regression,0.8598668014957956,0.2336400397643455,0.2638914999328589,0.3833489388264669,0.31259643374107243,0.8373913436721089
Random Forest,0.8731816600496537,0.25053070110561515,0.26559666748345995,0.4228698501872659,0.32626952831040607,0.7759814056496523
XGBoost,0.8811660504871526,0.27119777449888316,0.3147288421197428,0.3570536828963795,0.33455794995521926,0.8497998714447021
